"Crop","site_ID","Sample.site","replicate","pH","EC","OM","P2O5","NO3.N","K","Ca","Mg","Na"
"red lettuce","EL7","treatment","rep2",6.2,2.31,9.1,204,115,0.22,4.83,1.39,0.49
"red lettuce","EL7","treatment","rep3",6.5,1.39,9.5,214,51.4,0.25,4.28,1.23,0.33
"red lettuce","EL8","control","rep1",5.9,4.36,12,309,325,0.27,6.61,1.45,0.78
"red lettuce","EL8","control","rep2",5.4,4.8,12.6,299,346,0.27,6.64,1.49,0.79
"red lettuce","EL8","control","rep3",5.4,3.99,13.1,326,262,0.24,6.05,1.32,0.69
"red lettuce","EL8","treatment","rep1",5.9,2.72,13.2,289,128,0.3,5.76,1.09,0.55
"red lettuce","EL8","treatment","rep2",5.7,3.33,13.2,292,172,0.23,5.73,1.19,0.63
"red lettuce","EL8","treatment","rep3",5.5,4.3,12.9,301,265,0.34,6.07,1.3,0.71
"red lettuce","EL9","control","rep1",6.9,1.51,11.8,259,81.3,0.17,6.02,1.88,0.28
"red lettuce","EL9","control","rep2",6.9,1.28,10.1,263,74.2,0.18,5.7,1.72,0.22
"red lettuce","EL9","control","rep3",7,1.37,8.4,222,88.6,0.15,5.89,1.67,0.25
"red lettuce","EL9","treatment","rep1",7.2,4.19,16.8,569,207,0.25,10.17,2.18,0.56
"red lettuce","EL9","treatment","rep2",7,3.07,14.1,503,166,0.26,8.31,1.96,0.41
"red lettuce","EL9","treatment","rep3",6.8,2.44,14.9,488,161,0.32,7.61,1.97,0.35
